"","Type","Region","Admit.rate","X4.yr.grad.rate","Total.cost.per.yr.","Avg.need.based.aid","Avg.non.need.based.aid","X..of.non.need.based.aid","Avg.debt.at.graduation","Salary"
"252","Public","MW",66,52,126,10183,9960,13,31579,51500
"253","Public","MA",44,54,23,9724,2174,22,31188,35800
"254","Public","MA",52,44,69,6812,7109,25,37708,48600
"255","Private","MA",52,69,207,29432,12835,27,37753,58400
"256","Public","W/SW",42,55,188,18271,5643,9,19276,56300
"257","Liberal Arts","W/SW",63,43,219,32455,16250,100,27790,29900
"258","Private","NE",61,78,201,26170,14445,47,37910,69800
"259","Liberal Arts","MW",50,62,140,28610,23175,64,35782,44100
"260","Private","MA",71,56,44,16892,11014,38,36278,38900
"261","Private","NE",55,81,212,26410,18351,28,39775,60700
"262","Public","W/SW",75,39,26,7293,5617,45,24252,44300
"263","Public","MW",79,60,96,10983,5776,35,28039,46100
"264","Private","MW",60,54,79,19305,13832,31,34423,44300
"265","Private","NE",77,74,170,24498,17355,87,38226,46900
"266","Private","W/SW",44,38,65,17265,13316,21,38988,47700
"267","Public","MA",53,58,17,7239,4046,10,27045,42000
"268","Private","MW",60,58,165,23166,15516,61,37571,51600
"269","Private","MW",83,62,138,20378,17372,22,40307,55600
"270","Public","SE/MS",76,42,68,11020,4299,23,24699,47600
"271","Private","SE/MS",81,59,95,14857,7561,44,31020,43000
"272","Private","SE/MS",64,46,125,24252,21080,75,26643,44700
"273","Public","SE/MS",53,23,6,4997,0,0,29959,41200
"274","Public","W/SW",78,45,50,8605,6689,17,22251,45400
"275","Private","MA",68,57,209,30647,22172,76,23500,68900
"276","Public","W/SW",59,23,43,8121,5233,4,23665,49900
"277","Liberal Arts","MA",57,57,216,36371,21987,73,24964,50800
"278","Liberal Arts","SE/MS",60,50,133,29001,26663,87,34414,32200
"279","Private","W/SW",89,63,158,25948,19334,81,28294,41000
"280","Public","MW",81,48,76,7399,4768,29,27715,50200
"281","Private","MW",83,66,142,24502,19475,77,31993,51700
"282","Liberal Arts","NE",62,76,221,30737,15097,75,33280,46700
"283","Public","NE",69,62,159,15647,10950,52,26964,45200
"284","Public","W/SW",77,47,134,11026,9205,36,27405,48100
"285","Private","MA",55,29,150,21300,11400,50,38198,60600
"286","Private","NE",64,68,164,26528,17279,55,38992,49000
"287","Public","SE/MS",66,28,24,2861,3672,19,10062,40600
"288","Public","MA",54,56,54,7760,4414,12,21217,50600
"289","Public","W/SW",59,52,185,20041,5064,18,22582,43700
"290","Public","SE/MS",74,62,56,3352,2825,28,19444,50500
"291","Private","W/SW",87,56,145,30278,22062,76,28880,47200
"292","Private","W/SW",69,62,100,17325,10270,36,34844,49100
"293","Private","SE/MS",61,64,215,31145,20042,58,32208,43700
"294","Private","MA",74,68,122,19267,12168,71,41272,56300
"295","Private","MA",67,59,121,21030,15777,56,31644,48200
"296","Private","W/SW",74,64,166,23620,13344,8,28297,55500
"297","Private","MA",65,65,98,17755,11220,73,35925,45600
"298","Private","W/SW",77,58,135,23226,16755,86,32862,47700
"299","Public","W/SW",78,50,112,8320,5434,21,25542,43200
"300","Public","SE/MS",81,47,101,6413,4513,8,30132,58100
